"","No","Yes","name","p_value"
"1",123658220.307708,13647848.342468,"2011-2012",0.693220277056615
"2",122580620.701765,13398310.052469,"2013-2014",0.693220277056615
"3",123008455.764,14007388.112,"2015-2016",0.693220277056615
"4",117717837.02,14650222.937,"2017-2020",0.693220277056615
"5",301286258.727472,14610226.143299,"18 to 44",1.21906133860488e-53
"6",143397239.360489,25924151.939708,"45 to 64",1.21906133860488e-53
"7",29384971.957888,8358970.427878,"65 to 74",1.21906133860488e-53
"8",12896663.747624,6810420.933052,"75+",1.21906133860488e-53
"9",242706822.014713,33156350.575896,"Men",1.86985420716534e-05
"10",244258311.77876,22547418.868041,"Women",1.86985420716534e-05
"11",80260460.720913,7271818.308757,"Hispanic",4.79225387060985e-05
"12",26151790.03512,2561192.098926,"Non-Hispanic Asian",4.79225387060985e-05
"13",47455659.745486,7944366.662458,"Non-Hispanic Black",4.79225387060985e-05
"14",316745473.617676,35577688.24351,"Non-Hispanic White",4.79225387060985e-05
"15",16351749.674278,2348704.130286,"Other",4.79225387060985e-05
